Script Name,Binary Dependency Info,Script Modified Date,Windows XP,Windows Vista,Windows 7,Windows 8,Windows 8.1,Windows 10,Windows Server 2008,Windows Server 2012
Get-AppCompatCache.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-ArpCache.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-AutorunscFull,Autorunsc.exe version 13.40,12/22/2015,,,,,,,,
Get-AutorunscLite,Autorunsc.exe version 13.40,12/22/2015,,,,,TRUE,,,
Get-BootRecord,N/A,2/1/2016,,,,,TRUE,,,
Get-CCMRecentApps,N/A,1/22/2016,,,,,TRUE,,,
Get-Certificates,N/A,1/22/2016,,,,,TRUE,,,
Get-DNSCache.ps1,N/A,12/23/2015,,,,,TRUE,,,
Get-HostsFileEntries.ps1,N/A,2/1/2016,,,,,,,,
Get-IISLogEntries,N/A,12/22/2015,,,,,,,,
Get-IISLogListing.ps1,N/A,9/16/2015,,,,,,,,
Get-InstalledPrograms.ps1,N/A,2/1/2016,,,TRUE,,TRUE,,,
Get-JavaCache.ps1,N/A,2/1/2016,,,,,,,,
Get-LocalGroupMembership.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-LocalUserAccounts.ps1,N/A,9/16/2015,,,TRUE,,TRUE,,,
Get-MSOfficeMRU,N/A,1/22/2016,,,,,TRUE,,,
Get-Netstat.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-PartitionTable,N/A,2/1/2016,,,,,TRUE,,,
Get-PrefetchLite.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-Processes.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-ProcessModules.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-ProcessStrings,N/A,2/1/2016,,,,,TRUE,,,
Get-PSProfiles.ps1,N/A,1/4/2016,,,,,,,,
Get-RekallPSList,"winpmem 1.6.0, rekall 1.4.0",1/4/2016,,,,,TRUE,,,
Get-RekallPSScan,"winpmem 1.6.0, rekall 1.4.0",12/31/2015,,,,,TRUE,,,
Get-ScheduledTasks.ps1,N/A,9/16/2015,,,,,TRUE,,,
Get-Services.ps1,N/A,9/16/2015,,,TRUE,,TRUE,,,
Get-SMBSessions.ps1,N/A,2/1/2016,,,,,,,,
Get-SMBShares,N/A,1/22/2016,,,,,TRUE,,,
Get-SysmonLog,N/A,2/1/2016,,,,,TRUE,,,
Get-TypedURLs,N/A,2/1/2016,,,,,TRUE,,,
Get-USBDeviceHistory,N/A,2/1/2016,,,,,TRUE,,,
Get-UserAssist.ps1,N/A,1/11/2016,,,,,TRUE,,,
Get-WindowsApplicationLog.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-WindowsSecurityLog.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-WindowsSystemLog.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-WMIEventConsumers.ps1,N/A,2/1/2016,,,,,TRUE,,,
Get-WMIStartupCommand,N/A,1/22/2016,,,,,TRUE,,,
